winner_id

Match ID: 536619, Team ID : 2721, Win or loose : 0, Probabilité de l'équipe ID: 0.23913499358794582
Match ID: 536620, Team ID : 2721, Win or loose : 0, Probabilité de l'équipe ID: 0.06929783061399272
Match ID: 536621, Team ID : 2721, Win or loose : 0, Probabilité de l'équipe ID: 0.28819627257924474
Match ID: 536622, Team ID : 394, Win or loose : 1, Probabilité de l'équipe ID: 0.9528522585135655
Match ID: 536623, Team ID : 37, Win or loose : 1, Probabilité de l'équipe ID: 0.6094335460758458
Match ID: 536624, Team ID : 88, Win or loose : 0, Probabilité de l'équipe ID: 0.22606402968992523
Match ID: 536625, Team ID : 20, Win or loose : 1, Probabilité de l'équipe ID: 0.6888314418967136
Match ID: 536626, Team ID : 395, Win or loose : 0, Probabilité de l'équipe ID: 0.050984109271561016
Match ID: 536627, Team ID : 88, Win or loose : 0, Probabilité de l'équipe ID: 0.0496068192562953
Match ID: 536628, Team ID : 114, Win or loose : 0, Probabilité de l'équipe ID: 0.04877666956810987
Match ID: 536629, Team ID : 2721, Win or loose : 0, Probabilité de l'équipe ID: 0.2769914583988934
Match ID: 536630, Team ID : 20, Win or loose : 0, Probabilité de l'équipe ID: 0.43733562497799416
Match ID: 536631, Team ID : 2721, Win or loose : 1, Probabilité de l'équipe ID: 0.9491456108375644
Match ID: 536632, Team ID : 20, Win or loose : 0, Probabilité de l'équipe ID: 0.34838218563278456
Match ID: 536633, Team ID : 3983, Win or loose : 0, Probabilité de l'équipe ID: 0.36016958384505765
Match ID: 537021, Team ID : 1536, Win or loose : 1, Probabilité de l'équipe ID: 0.9176855586978079
Match ID: 537022, Team ID : 390, Win or loose : 0, Probabilité de l'équipe ID: 0.4841959360115431
Match ID: 537023, Team ID : 387, Win or loose : 1, Probabilité de l'équipe ID: 0.9521720022940364
Match ID: 537024, Team ID : 390, Win or loose : 0, Probabilité de l'équipe ID: 0.3304531989327817
Match ID: 537025, Team ID : 387, Win or loose : 0, Probabilité de l'équipe ID: 0.36620631989013974
Match ID: 537026, Team ID : 390, Win or loose : 0, Probabilité de l'équipe ID: 0.226873554467728
